Season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
2023-2024,Squad Total,,,27.4,38,418,"3,420",38.0,85.0,66.0,151.0,83.0,2.0,5.0,69.0,4.0,68.8,65.2,52.5,117.7,950.0,1935.0,1923.0,2.24,1.74,3.97,2.18,3.92,1.81,1.38,3.19,1.71,3.1
2023-2024,Opponent Total,,,27.1,38,418,"3,420",38.0,25.0,17.0,42.0,24.0,1.0,1.0,95.0,0.0,35.4,34.7,26.4,61.1,583.0,1261.0,1247.0,0.66,0.45,1.11,0.63,1.08,0.93,0.69,1.63,0.91,1.61
2024-2025,Federico Valverde,uyURU,"MF,DF",26.0,36,34,"3,032",33.7,6.0,4.0,10.0,6.0,0.0,0.0,4.0,0.0,2.7,2.7,3.1,5.8,66.0,226.0,76.0,0.18,0.12,0.3,0.18,0.3,0.08,0.09,0.17,0.08,0.17
2024-2025,Kylian Mbappé,frFRA,FW,25.0,34,34,"2,907",32.3,31.0,3.0,34.0,24.0,7.0,9.0,3.0,1.0,25.9,18.6,7.7,26.3,150.0,140.0,386.0,0.96,0.09,1.05,0.74,0.84,0.8,0.24,1.04,0.58,0.81
2024-2025,Aurélien Tchouaméni,frFRA,"DF,MF",24.0,32,31,"2,689",29.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.7,1.7,0.6,2.2,19.0,154.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.07,0.06,0.07
2024-2025,Thibaut Courtois,beBEL,GK,32.0,30,30,"2,700",30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Jude Bellingham,engENG,MF,21.0,31,29,"2,488",27.6,9.0,8.0,17.0,8.0,1.0,2.0,5.0,1.0,11.4,9.9,3.9,13.7,74.0,199.0,143.0,0.33,0.29,0.61,0.29,0.58,0.41,0.14,0.55,0.36,0.5
2024-2025,Antonio Rüdiger,deGER,DF,31.0,29,26,"2,291",25.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.7,1.7,0.5,2.3,20.0,94.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
2024-2025,Lucas Vázquez,esESP,DF,33.0,32,25,"2,189",24.3,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,4.7,6.1,37.0,99.0,194.0,0.04,0.21,0.25,0.04,0.25,0.06,0.19,0.25,0.06,0.25
2024-2025,Vinicius Júnior,brBRA,FW,24.0,30,24,"2,253",25.0,11.0,8.0,19.0,9.0,2.0,3.0,8.0,1.0,10.4,8.2,8.0,16.2,169.0,85.0,256.0,0.44,0.32,0.76,0.36,0.68,0.41,0.32,0.73,0.33,0.65
